filename,status,grade,duration_seconds,size_bytes,visual_summary,recommended_placement,notes
20250903_144304.mp4,REVIEWED,B,36.2,245044334,Presenter outside multifamily complex; building/project introduction.,Our Work; project intro,"Good establishing footage; presenter-led, so verify audio before deriving claims."
20250903_144629.mp4,REVIEWED,B,24.6,165677617,Presenter seated under covered timber/stone entry.,About; Our Work,Human-brand/project context; limited direct system proof.
20250903_144855.mp4,REVIEWED,B,9.7,64514694,"Building entry, timber/stone architecture, doors and hallway context.",Our Work,Useful establishing B-roll; little direct product detail.
20250903_144951.mp4,REVIEWED,C,12.2,82601671,Similar building-entry and hallway establishing B-roll.,Our Work,Lower priority duplicate/context footage.
20250903_150005.mp4,REVIEWED,B,28.9,195901737,Presenter walking/talking in multifamily hallway.,Our Work; project intro,Project-context footage; value depends partly on verified dialogue.
20250905_140949.mp4,REVIEWED,B,21.3,144365154,Apartment kitchen/sink walkthrough with fixture and route context.,How It Works; Our Work,"Useful interior context, but Plumbing Track is not visually dominant."
20250909_133237.mp4,REVIEWED,B,22.7,153871243,Presenter in residential kitchen/entry.,Our Work; educational,Talking-head explainer; verify speech.
20250909_133325.mp4,REVIEWED,B,29.4,199091090,"Presenter in residential kitchen/entry, moving through suite.",Our Work; educational,Talking-head explainer; verify speech.
Conventional vs pt garbage amount.mp4,REVIEWED,B,30.8,208367687,Purpose-shot presenter comparison in kitchen.,Traditional vs Plumbing Track,Strategically useful after spoken comparison claims are verified.
Conventional vs pt kitchen sample.mp4,REVIEWED,B,36.7,249186386,Purpose-shot presenter comparison in kitchen.,Traditional vs Plumbing Track,Strategically useful after spoken comparison claims are verified.
Intro to upcoming poly b job 2.mp4,REVIEWED,B,38.2,258991537,Presenter project introduction in kitchen.,Poly B; Our Work,"Verify project identity, pipe material, permissions and spoken claims."
Intro to new residential poly b job.mp4,REVIEWED,B,27.5,186732202,Presenter outdoors at residential entry introducing project.,Poly B; Our Work,Strong project-establishing intro if identity/material/claims are verified.
Mosaic update 1.mp4,REVIEWED,B,31.1,209958021,Presenter in bright mostly empty suite.,Our Work,Project update; dialogue-dependent.
Mosaic let's meet a plumber.mp4,REVIEWED,B,27.5,185316135,Presenter/team profile at sliding door.,About; Team,Human/team story if release and intended use are confirmed.
Mosaic intro to plumbers rough in.mp4,REVIEWED,B,31.4,212183417,Presenter introducing rough-in work.,Detailed Installation; Our Work,Process intro; dialogue-dependent.
20251018_095652.mp4,REVIEWED,A,14.5,98957632,Finished white Plumbing Track enclosure following ceiling/wall/beam transitions.,Technology; Accessible Plumbing; Our Work,High-value finished-result footage.
20251018_095715.mp4,REVIEWED,B,2.7,18258363,Very short finished-room alternate.,Technology; Our Work,Supporting detail only.
20251018_095725.mp4,REVIEWED,A,12.1,82117367,Wider finished enclosure view in occupied interior.,Occupied Building Repiping; Our Work,Strong result/context; inspect resident belongings before publication.
20251018_095809.mp4,REVIEWED,A,17.3,117656208,Finished enclosure around room/ceiling with clear transitions.,Technology; Accessible Plumbing; Occupied Building Repiping,Strong finished-system proof.
20251018_095836.mp4,REVIEWED,A,7.3,49111820,Close finished track/beam detail.,Technology; How It Works,Strong supporting architectural detail.
20251018_100331.mp4,REVIEWED,A,7.8,52333656,Finished enclosure integrated around doorway/ceiling.,Technology; Accessible Plumbing,Strong architectural-integration proof.
20251018_100345.mp4,REVIEWED,B,7.2,48506204,Finished enclosure around doorway/ceiling with bathroom/mirror context.,Technology; Our Work,Useful alternate; check reflected/private details.
20251018_100356.mp4,REVIEWED,B,4.9,32787379,Finished corner/door transition.,Technology; How It Works,Compact supporting B-roll.
20251024_115224.mp4,REVIEWED,B,35.4,240185255,Presenter in kitchen explaining project/system.,Educational; Our Work,Polished presenter footage; verify dialogue.
20251024_115757.mp4,REVIEWED,B,31.7,214711849,Presenter in kitchen; alternate-folder label indicates 2-story loft / one drywall repair.,Our Work; Traditional vs Plumbing Track,Do not publish numeric/disruption claim until source and speech are verified.
20251024_120032.mp4,REVIEWED,B,37.4,253731037,Presenter in kitchen continuing project explanation.,Our Work; educational,Dialogue-dependent.
20251024_120326.mp4,REVIEWED,A,29.3,198707724,Presenter walkthrough in bathroom pointing to wall/shower conditions.,How It Works; Our Work,Useful physical-condition explainer; verify dialogue and label association.
20251024_124323.mp4,REVIEWED,A,26.8,181583166,Finished closet/interior with shelving and completed enclosure.,Technology; Accessible Plumbing; Our Work,Strong finished-condition proof in constrained space.
20251127_103656.mp4,REVIEWED,B,29.7,201195457,Bathroom/tub/shower plumbing connections and fixtures walkthrough.,Detailed Installation; Technology,Useful process/detail footage.
20251204_105818.mp4,REVIEWED,B,6.1,19488610,Close hands/tool work against wall/profile.,Detailed Installation,Short installation detail.
20251204_110100.mp4,REVIEWED,A,11.2,75825973,Hands fastening/fitting trim/track high on wall.,Detailed Installation,Strong installation action.
20251204_110200.mp4,REVIEWED,B,1.8,12383268,Very short hand-on-track detail.,Detailed Installation,Supporting detail only.
20251204_110245.mp4,REVIEWED,A+,12.4,83533210,Open track/enclosure with visible red/blue piping and tape measure.,Technology; Accessible Plumbing; Detailed Installation,"Best technical/accessibility visual; proves installation-stage access, not years-later service history."
20251204_110306.mp4,REVIEWED,A,20.9,141896182,Close plumbing fitting/connection assembly with gloved hands.,Technology; Detailed Installation,Strong connection-stage technical proof.
20251204_110359.mp4,REVIEWED,B,8.6,58285719,Tools and fittings/components laid out.,Detailed Installation,Preparation/process support.
20251204_110411.mp4,REVIEWED,B,8.5,57059901,"Tools, cables and equipment staging.",Detailed Installation,Preparation/process support.
20251204_111638.mp4,REVIEWED,A,8.6,57973083,Jigsaw fabrication/cutting of white enclosure piece.,Detailed Installation,Strong fabrication footage.
20251204_135848.mp4,REVIEWED,A,5.5,37081894,Hands measuring/marking/fitting white enclosure profile.,Detailed Installation,Strong process detail.
20251204_135906.mp4,REVIEWED,A,6.3,43465003,Fitting/marking/notching enclosure profile.,Detailed Installation,Strong process detail.
20251204_135928.mp4,REVIEWED,A,14.5,98371495,Jigsaw cutting white track/profile.,Detailed Installation,Strong fabrication footage.
20251204_135945.mp4,REVIEWED,A,11.3,76902409,Continued jigsaw cutting.,Detailed Installation,Good fabrication alternate.
20251204_140012.mp4,REVIEWED,A,7.2,48933282,Cut/detail and hand fitting of profile.,Detailed Installation,Strong process detail.
20251204_140648.mp4,REVIEWED,A,10.8,72673058,Applying/spreading finishing compound on profile.,Detailed Installation,Strong finishing-stage proof.
20251204_140754.mp4,REVIEWED,A,18.8,127637569,Painting/finishing white track on wall/ceiling.,Detailed Installation,Strong finish-stage proof; select stable segment.
20251204_153433.mp4,REVIEWED,A,5.7,38809291,Finished enclosure around room/door ceiling.,Technology; Our Work,Short strong finished walkthrough.
20251204_153442.mp4,REVIEWED,A+,12.6,85358140,"Finished track transitions around columns, beams and corners.",Technology; Accessible Plumbing; Our Work,One of the strongest finished-result clips.
20251204_153500.mp4,REVIEWED,B,11.3,77197900,Finished laundry/utility room route.,Our Work; Technology,Useful constrained-space proof.
20251204_153515.mp4,REVIEWED,A,9.8,65660922,Finished laundry route with washer/dryer and cabinetry.,Our Work; Technology,Strong real-suite integration; privacy check required.
20251204_153531.mp4,REVIEWED,B,8.3,55744719,Finished bathroom with track at ceiling/wall.,Our Work; Technology,Useful finished-room alternate.
20251204_153553.mp4,REVIEWED,B,9.3,63486841,Finished closet route with shelving/laundry items.,Our Work,Useful but clutter/privacy considerations.
20251204_153617.mp4,REVIEWED,B,8.9,59532544,Finished hallway/door/corner transition.,Technology; Our Work,Good supporting architectural proof.
20251204_153647.mp4,REVIEWED,B,5.8,38506923,Finished bathroom/pedestal sink view.,Our Work,Route is less visually dominant.
20251204_154426.mp4,REVIEWED,A+,20.3,138929365,Common hallway/corridor with localized/open ceiling route and repeated work zones.,Occupied Building Repiping; Detailed Installation,Excellent limited-disruption/localized-work proof; avoid overclaiming without project data.
20251204_154501.mp4,REVIEWED,A,5.9,39452250,Localized exposed wall/ceiling opening showing existing plumbing.,Technology; Detailed Installation,Strong existing-plumbing/local-opening detail.
20251204_154509.mp4,REVIEWED,A,6.6,44207096,Exposed ceiling/wall cavity with existing plumbing.,Technology; Detailed Installation,Strong technical support.
20251205_102032.mp4,REVIEWED,A,11.0,74562552,"Perimeter route/installation around room, closet and door openings.",Detailed Installation; Technology,Good route-continuity proof.
20251205_102049.mp4,REVIEWED,B,7.5,50717536,Similar room-scale route around closet/door.,Detailed Installation,Useful alternate.
20251205_134813.mp4,REVIEWED,A,6.5,43502105,Hands measuring/marking track/profile.,Detailed Installation,Strong process detail.
20251205_134828.mp4,REVIEWED,A,14.2,96608645,Drill/fastener work on wall/track.,Detailed Installation,Strong active-install footage.
20251205_134853.mp4,REVIEWED,A+,14.7,99635948,Localized rectangular wall opening with drilling/fastening.,Detailed Installation; Occupied Building Repiping,Excellent visual for “open only what is needed.”
20251205_134938.mp4,REVIEWED,A,15.5,105046388,Work around localized rectangular opening with fastening/marking.,Detailed Installation; Occupied Building Repiping,Strong limited-opening proof.
20251205_135703.mp4,REVIEWED,A+,17.9,121300069,Installer fitting/placing enclosure/profile along upper wall/ceiling.,Detailed Installation; Occupied Building Repiping,Excellent human-scale active-install footage.
20251205_135740.mp4,REVIEWED,A+,19.7,133250010,Installer working with track/profile along beam/ceiling.,Detailed Installation; Occupied Building Repiping,Excellent route-installation footage.
lv_0_20251224163025.mp4,REVIEWED,C,52.9,62968816,Edited holiday/cookie social montage.,Exclude from current website proof,Unrelated to product/process/technology proof.
20260228_191247.mp4,REVIEWED,C,18.2,122410772,Nighttime dance/event footage.,Exclude from current website proof,Unrelated to current site goals.
20260420_091110.mp4,REVIEWED,A,14.4,97847928,Clean corridor with track/open-fastener route along upper wall/ceiling.,Detailed Installation; Technology,Good route-continuity/process context.
20250903_143957.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,293771973,,,Do not infer content or quality from filename alone. Independently review before use.
20250903_145252.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,303335430,,,Do not infer content or quality from filename alone. Independently review before use.
20250909_133559.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,293863473,,,Do not infer content or quality from filename alone. Independently review before use.
20250909_133918.mp4,UNREVIEWED — CONNECTOR SIZE LIMIT,,,885968635,,,Do not infer content or quality from filename alone. Independently review before use.
